ISO3,countryname,year,gen_govtax_GDP,ADB,AMECO,AMF,EUS,IMF_GFS,CS2,CS1,chainlinking_ratio,source,source_change,source_change_count
BEL,Belgium,2014,47.3,,47.64799,,47.3,31.038079,,,1,EUS,,
BEL,Belgium,1999,46.2,,46.62536,,46.2,30.254265,,,1,EUS,,
BEL,Belgium,2012,47,,47.2861,,47,30.560186,,,1,EUS,,
BEL,Belgium,1977,28.46153,,,,,28.461527,,,1,IMF_GFS,,
BEL,Belgium,1996,45.4,,45.77247,,45.4,29.187122,,,1,EUS,,
BEL,Belgium,1994,,,,,,,,,1,EUS,,
BEL,Belgium,1990,,,,,,,,,1,EUS,,
BEL,Belgium,1980,29.01781,,,,,29.017809,,,1,IMF_GFS,,
BEL,Belgium,1973,24.87575,,,,,24.875747,,,1,IMF_GFS,,
BEL,Belgium,1985,30.07383,,,,,30.073826,,,1,IMF_GFS,,
BEL,Belgium,2002,46,,46.34666,,46,29.907669,,,1,EUS,,
BEL,Belgium,1997,45.8,,46.23557,,45.8,29.787864,,,1,EUS,,
BEL,Belgium,2027,44.13014,,44.42329,,,,,,.9934011,AMECO,,
BEL,Belgium,1987,29.60691,,,,,29.606911,,,1,IMF_GFS,,
